ID,gene
ENA|HG973349|HG973349.1,WntA
ENA|HG973350|HG973350.1,WntB
ENA|HG973351|HG973351.1,WntC
ENA|HG973352|HG973352.1,WntD
ENA|HG973353|HG973353.1,WntE
ENA|HG973354|HG973354.1,WntF
ENA|HG973355|HG973355.1,WntG
ENA|HG973356|HG973356.1,WntH
ENA|HG973357|HG973357.1,WntI
ENA|HG973358|HG973358.1,WntJ
ENA|HG973359|HG973359.1,WntK
ENA|HG973360|HG973360.1,WntL
ENA|HG973361|HG973361.1,WntM
ENA|HG973362|HG973362.1,WntN
ENA|HG973363|HG973363.1,WntO
ENA|HG973364|HG973364.1,WntP
ENA|HG973365|HG973365.1,WntQ
ENA|HG973366|HG973366.1,WntR
ENA|HG973367|HG973367.1,WntS
ENA|HG973368|HG973368.1,WntT
ENA|HG973369|HG973369.1,WntU
ENA|HG973370|HG973370.1,FzdA
ENA|HG973371|HG973371.1,FzdB
ENA|HG973372|HG973372.1,FzdC
ENA|HG973373|HG973373.1,FzdD
ENA|HG973374|HG973374.1,Lrp5
ENA|HG973375|HG973375.1,DvlA
ENA|HG973376|HG973376.1,DvlB
ENA|HG973377|HG973377.1,TcfA
ENA|HG973378|HG973378.1,TcfB
ENA|HG973379|HG973379.1,BcatA
ENA|HG973380|HG973380.1,BcatB
ENA|HG973381|HG973381.1,TgfBA
ENA|HG973382|HG973382.1,TgfBB
ENA|HG973383|HG973383.1,TgfBC
ENA|HG973384|HG973384.1,TgfBD
ENA|HG973385|HG973385.1,TgfBE
ENA|HG973386|HG973386.1,TgfBF
ENA|HG973387|HG973387.1,TgfBG
ENA|HG973388|HG973388.1,TgfBH
ENA|HG973389|HG973389.1,TgfBI
ENA|HG973390|HG973390.1,TgfBJ
ENA|HG973391|HG973391.1,TgfBK
ENA|HG973392|HG973392.1,TgfBL
ENA|HG973393|HG973393.1,TgfBM
ENA|HG973394|HG973394.1,TgfBN
ENA|HG973395|HG973395.1,TgfBO
ENA|HG973396|HG973396.1,TgfBP
ENA|HG973397|HG973397.1,TgfBQ
ENA|HG973398|HG973398.1,TgfBR
ENA|HG973399|HG973399.1,TgfBS
ENA|HG973400|HG973400.1,TgfBT
ENA|HG973401|HG973401.1,TgfBU
ENA|HG973402|HG973402.1,TgfBV
ENA|HG973403|HG973403.1,Smad4
ENA|HG973404|HG973404.1,Smad15
ENA|HG973405|HG973405.1,SmadRa
ENA|HG973406|HG973406.1,SmadRb
ENA|HG973407|HG973407.1,Smad67a
ENA|HG973408|HG973408.1,Smad67b
ENA|HG973409|HG973409.1,Bra1
ENA|HG973410|HG973410.1,Bra2
ENA|HG973411|HG973411.1,TbxA
ENA|HG973412|HG973412.1,TbxB
ENA|HG973413|HG973413.1,TbxC
ENA|HG973414|HG973414.1,Pl10A
ENA|HG973415|HG973415.1,Pl10B
ENA|HG973416|HG973416.1,VasaA
ENA|HG973417|HG973417.1,VasaB
ENA|HG973418|HG973418.1,Nanos
ENA|HG973419|HG973419.1,Gata
ENA|HG973420|HG973420.1,Gli
ENA|HG973421|HG973421.1,Hedgling